"DENMARK";"96"
"ENGLAND & WALES";"111"
"ESTONIA";"148"
"FINLAND";"117"
"FRANCE";"114"
"GERMANY";"128"
"GREECE";"127"
"HUNGARY";"102"
"ITALY";"134"
"LATVIA";"31"
"LITHUANIA";"121"
"POLAND";"162"
"SLOVAKIA";"16"
"SWEDEN";"99"
